epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,413.95,1.05045,0.77062,1.00006,0.818,0.71471,0.76814,0.45614,1.44222,1.06707,1.21084,5.945e-05,5.945e-05,5.945e-05
91,419.875,1.05908,0.85689,1.00217,0.78261,0.71076,0.75321,0.45226,1.43307,1.09521,1.20369,5.45e-05,5.45e-05,5.45e-05
92,424.252,1.06102,0.79921,0.99493,0.77913,0.71068,0.75516,0.45753,1.43594,1.11148,1.20892,4.955e-05,4.955e-05,4.955e-05
93,428.845,1.01788,0.77556,0.98253,0.79452,0.71166,0.75644,0.45709,1.43599,1.09084,1.21476,4.46e-05,4.46e-05,4.46e-05
94,432.917,1.00197,0.74147,0.97832,0.79007,0.72655,0.76018,0.46097,1.43404,1.08513,1.21614,3.965e-05,3.965e-05,3.965e-05
95,437.182,1.01858,0.75106,0.99165,0.80302,0.72918,0.76553,0.46125,1.43423,1.07954,1.21442,3.47e-05,3.47e-05,3.47e-05
96,441.48,1.0002,0.72739,0.96663,0.80111,0.72371,0.76092,0.46257,1.43389,1.08209,1.2113,2.975e-05,2.975e-05,2.975e-05
97,445.813,0.98741,0.73364,0.97413,0.76692,0.74666,0.76275,0.46232,1.43063,1.087,1.20621,2.48e-05,2.48e-05,2.48e-05
98,450.087,0.99122,0.72397,0.97277,0.77813,0.7334,0.7642,0.46162,1.42387,1.0842,1.20136,1.985e-05,1.985e-05,1.985e-05
99,454.421,0.96211,0.72112,0.96243,0.8018,0.72056,0.76463,0.45914,1.424,1.08252,1.20168,1.49e-05,1.49e-05,1.49e-05
100,458.738,0.96816,0.71016,0.96907,0.81398,0.71748,0.76513,0.45933,1.42409,1.07993,1.20035,9.95e-06,9.95e-06,9.95e-06
